level,id,parent,children,name,include,pnzRegional,path
ward,zzzzzzzzzzzzzzzzzzzs,zzzzzzzzzzzzzzzzzzzx,,Heathcote Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzs
ward,zzzzzzzzzzzzzzzzzzzt,zzzzzzzzzzzzzzzzzzzx,,Harewood Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzt
ward,zzzzzzzzzzzzzzzzzzzu,zzzzzzzzzzzzzzzzzzzx,,Halswell Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzu
ward,zzzzzzzzzzzzzzzzzzzv,zzzzzzzzzzzzzzzzzzzx,,Fendalton Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzv
ward,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzx,,Coastal Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzw
ward,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzx,,Central Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzx
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,,Cashmere Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzw,|||||||||||||||,Christchurch,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx
district,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzw,,Ashburton,true,environment-canterbury-mid-canterbury-opakihi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzy
region,zzzzzzzzzzzzzzzzzzzw,,|||||||||,Canterbury,true,,regions/zzzzzzzzzzzzzzzzzzzw
district,zzzzzzzzzzzzzzzzzzzq,zzzzzzzzzzzzzzzzzzzx,,Tararua,,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzq
district,zzzzzzzzzzzzzzzzzzzr,zzzzzzzzzzzzzzzzzzzx,,South Wairarapa,,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzr
district,zzzzzzzzzzzzzzzzzzzs,zzzzzzzzzzzzzzzzzzzx,,Masterton,,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzs
ward,zzzzzzzzzzzzzzzzzzzu,zzzzzzzzzzzzzzzzzzzt,,Districtwide,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzt/wards/zzzzzzzzzzzzzzzzzzzu
ward,zzzzzzzzzzzzzzzzzzzv,zzzzzzzzzzzzzzzzzzzt,,Paekākāriki–Raumati,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzt/wards/zzzzzzzzzzzzzzzzzzzv
